row,id,travel_datetime,travel_date,pointtype,name,sleepcategory,nonights,next_id,next_travel_datetime,next_travel_date,next_pointtype,next_name,day_diff_to_next_entry,status,
41,41,10/12/2023 0:00,10/12/2023,waypoint,San Vincente,,0,42,10/12/2023 0:00,10/12/2023,sleep,San Vincente,0,not_sleep,
42,42,10/12/2023 0:00,10/12/2023,sleep,San Vincente,house,1,43,10/13/2023 0:00,10/13/2023,waypoint,Murcia,1,match,
43,43,10/13/2023 0:00,10/13/2023,waypoint,Murcia,,0,44,10/13/2023 0:00,10/13/2023,waypoint,La Paz,0,not_sleep,
44,44,10/13/2023 0:00,10/13/2023,waypoint,La Paz,,0,45,10/13/2023 0:00,10/13/2023,waypoint,Alhama de Murcia,0,not_sleep,
45,45,10/13/2023 0:00,10/13/2023,waypoint,Alhama de Murcia,,0,46,10/13/2023 0:00,10/13/2023,waypoint,Alhama de Murcia outskirts,0,not_sleep,
46,46,10/13/2023 0:00,10/13/2023,waypoint,Alhama de Murcia outskirts,,0,47,10/13/2023 0:00,10/13/2023,waypoint,Puerto Lumbreras,0,not_sleep,
47,47,10/13/2023 0:00,10/13/2023,waypoint,Puerto Lumbreras,,0,48,10/13/2023 0:00,10/13/2023,waypoint,Vera,0,not_sleep,
48,48,10/13/2023 0:00,10/13/2023,waypoint,Vera,,0,49,10/13/2023 0:00,10/13/2023,waypoint,Macael,0,not_sleep,
49,49,10/13/2023 0:00,10/13/2023,waypoint,Macael,,0,50,10/13/2023 0:00,10/13/2023,sleep,Olula del Rio,0,not_sleep,
50,50,10/13/2023 0:00,10/13/2023,sleep,Olula del Rio,house,1,51,10/14/2023 0:00,10/14/2023,waypoint,Almeria,1,match,
51,51,10/14/2023 0:00,10/14/2023,waypoint,Almeria,,0,52,10/14/2023 0:00,10/14/2023,waypoint,Malaga,0,not_sleep,
52,52,10/14/2023 0:00,10/14/2023,waypoint,Malaga,,0,53,10/14/2023 0:00,10/14/2023,sleep,Malaga,0,not_sleep,
53,53,10/14/2023 0:00,10/14/2023,sleep,Malaga,camping,1,54,10/15/2023 0:00,10/15/2023,waypoint,Fuengirola,1,match,
54,54,10/15/2023 0:00,10/15/2023,waypoint,Fuengirola,,0,55,10/15/2023 0:00,10/15/2023,waypoint,Cala de Mijas,0,not_sleep,
55,55,10/15/2023 0:00,10/15/2023,waypoint,Cala de Mijas,,0,56,10/15/2023 0:00,10/15/2023,waypoint,Marbella,0,not_sleep,
56,56,10/15/2023 0:00,10/15/2023,waypoint,Marbella,,0,57,10/15/2023 0:00,10/15/2023,waypoint,Marbella bus terminal,0,not_sleep,
57,57,10/15/2023 0:00,10/15/2023,waypoint,Marbella bus terminal,,0,58,10/15/2023 0:00,10/15/2023,waypoint,San Roque,0,not_sleep,
58,58,10/15/2023 0:00,10/15/2023,waypoint,San Roque,,0,59,10/15/2023 0:00,10/15/2023,waypoint,La Linea de la Conception,0,not_sleep,
59,59,10/15/2023 0:00,10/15/2023,waypoint,La Linea de la Conception,,0,60,10/15/2023 0:00,10/15/2023,sleep,Gibraltar,0,not_sleep,
60,60,10/15/2023 0:00,10/15/2023,sleep,Gibraltar,couchsurfing,1,61,10/16/2023 17:50,10/16/2023,sleep,Gibraltar,1,match,
61,61,10/16/2023 17:50,10/16/2023,sleep,Gibraltar,couchsurfing,4,62,10/20/2023 17:54,10/20/2023,sleep,The Jungle,4,match,
62,62,10/20/2023 17:54,10/20/2023,sleep,The Jungle,camping,2,66,10/22/2023 0:00,10/22/2023,sleep,La Esteponera,2,match,
63,66,10/22/2023 0:00,10/22/2023,sleep,La Esteponera,hostel,1,67,10/23/2023 0:00,10/23/2023,sleep,The Jungle,1,match,
64,67,10/23/2023 0:00,10/23/2023,sleep,The Jungle,camping,6,63,10/29/2023 0:00,10/29/2023,waypoint,Algeciras,6,match,
65,63,10/29/2023 0:00,10/29/2023,waypoint,Algeciras,,0,64,10/29/2023 0:00,10/29/2023,waypoint,Ceuta,0,not_sleep,
66,64,10/29/2023 0:00,10/29/2023,waypoint,Ceuta,,0,65,10/29/2023 0:00,10/29/2023,sleep,Ceuta,0,not_sleep,
67,65,10/29/2023 0:00,10/29/2023,sleep,Ceuta,boat,2,119,10/31/2023 0:00,10/31/2023,waypoint,Ceuta Bus,2,match,
68,119,10/31/2023 0:00,10/31/2023,waypoint,Ceuta Bus,,0,68,10/31/2023 0:00,10/31/2023,waypoint,Ceuta border,0,not_sleep,
69,68,10/31/2023 0:00,10/31/2023,waypoint,Ceuta border,,0,69,10/31/2023 0:00,10/31/2023,sleep,Tetouan,0,not_sleep,
70,69,10/31/2023 0:00,10/31/2023,sleep,Tetouan,airbnb,2,70,11/2/2023 0:00,11/2/2023,waypoint,Ceuta border,2,match,
71,70,11/2/2023 0:00,11/2/2023,waypoint,Ceuta border,,0,120,11/2/2023 0:00,11/2/2023,waypoint,Ceuta Bus,0,not_sleep,
72,120,11/2/2023 0:00,11/2/2023,waypoint,Ceuta Bus,,0,71,11/2/2023 0:00,11/2/2023,sleep,Ceuta,0,not_sleep,
73,71,11/2/2023 0:00,11/2/2023,sleep,Ceuta,boat,4,72,11/7/2023 12:00,11/7/2023,sleep,"Ceuta - La Graciosa, Day 1",5,mismatch,1
74,72,11/7/2023 12:00,11/7/2023,sleep,"Ceuta - La Graciosa, Day 1",boat,1,73,11/8/2023 12:00,11/8/2023,sleep,"Ceuta - La Graciosa, Day 2",1,match,
75,73,11/8/2023 12:00,11/8/2023,sleep,"Ceuta - La Graciosa, Day 2",boat,1,74,11/9/2023 12:00,11/9/2023,sleep,"Ceuta - La Graciosa, Day 3",1,match,
76,74,11/9/2023 12:00,11/9/2023,sleep,"Ceuta - La Graciosa, Day 3",boat,1,75,11/10/2023 18:39,11/10/2023,sleep,"Ceuta - La Graciosa, Day 4",1,match,
77,75,11/10/2023 18:39,11/10/2023,sleep,"Ceuta - La Graciosa, Day 4",boat,1,76,11/11/2023 12:00,11/11/2023,sleep,"Ceuta - La Graciosa, Day 5",1,match,
78,76,11/11/2023 12:00,11/11/2023,sleep,"Ceuta - La Graciosa, Day 5",boat,1,77,11/11/2023 16:50,11/11/2023,sleep,La Graciosa,0,mismatch,-1
79,77,11/11/2023 16:50,11/11/2023,sleep,La Graciosa,boat,2,78,11/13/2023 0:00,11/13/2023,waypoint,"La Graciosa - Las Palmas, Day 1",2,match,
80,78,11/13/2023 0:00,11/13/2023,waypoint,"La Graciosa - Las Palmas, Day 1",,0,79,11/14/2023 0:00,11/14/2023,waypoint,"La Graciosa - Las Palmas, Day 2",1,not_sleep,
81,79,11/14/2023 0:00,11/14/2023,waypoint,"La Graciosa - Las Palmas, Day 2",,0,80,11/14/2023 0:00,11/14/2023,sleep,Las Palmas,0,not_sleep,
82,80,11/14/2023 0:00,11/14/2023,sleep,Las Palmas,camping,4,81,11/18/2023 0:00,11/18/2023,waypoint,Telde,4,match,
83,81,11/18/2023 0:00,11/18/2023,waypoint,Telde,,0,82,11/18/2023 0:00,11/18/2023,waypoint,Maspalmos,0,not_sleep,
84,82,11/18/2023 0:00,11/18/2023,waypoint,Maspalmos,,0,83,11/18/2023 0:00,11/18/2023,sleep,Maspalomas Dunes,0,not_sleep,
85,83,11/18/2023 0:00,11/18/2023,sleep,Maspalomas Dunes,camping,1,84,11/19/2023 0:00,11/19/2023,waypoint,Las Palmas de Abajo,1,match,
86,84,11/19/2023 0:00,11/19/2023,waypoint,Las Palmas de Abajo,,0,85,11/19/2023 0:00,11/19/2023,waypoint,Sonneland,0,not_sleep,
87,85,11/19/2023 0:00,11/19/2023,waypoint,Sonneland,,0,86,11/19/2023 0:00,11/19/2023,waypoint,El Tablero,0,not_sleep,
88,86,11/19/2023 0:00,11/19/2023,waypoint,El Tablero,,0,87,11/19/2023 0:00,11/19/2023,waypoint,Random playa,0,not_sleep,
89,87,11/19/2023 0:00,11/19/2023,waypoint,Random playa,,0,88,11/19/2023 0:00,11/19/2023,sleep,Random beach,0,not_sleep,
90,88,11/19/2023 0:00,11/19/2023,sleep,Random beach,camping,1,89,11/20/2023 0:00,11/20/2023,sleep,Playa de Tauro,1,match,
91,89,11/20/2023 0:00,11/20/2023,sleep,Playa de Tauro,camping,2,91,11/22/2023 0:00,11/22/2023,waypoint,San Sebastian Port,2,match,
92,91,11/22/2023 0:00,11/22/2023,waypoint,San Sebastian Port,,0,90,11/22/2023 0:20,11/22/2023,sleep,San Sebastian,0,not_sleep,
93,90,11/22/2023 0:20,11/22/2023,sleep,San Sebastian,camping,2,104,11/24/2023 0:00,11/24/2023,waypoint,San Sebastian Outskirts,2,match,
94,104,11/24/2023 0:00,11/24/2023,waypoint,San Sebastian Outskirts,,0,105,11/24/2023 0:00,11/24/2023,waypoint,Valle Gran Rey,0,not_sleep,
95,105,11/24/2023 0:00,11/24/2023,waypoint,Valle Gran Rey,,0,92,11/24/2023 0:00,11/24/2023,sleep,Playa Ingles,0,not_sleep,
96,92,11/24/2023 0:00,11/24/2023,sleep,Playa Ingles,camping,6,93,11/30/2023 0:00,11/30/2023,waypoint,La Calera,6,match,
97,93,11/30/2023 0:00,11/30/2023,waypoint,La Calera,,0,94,11/30/2023 0:00,11/30/2023,waypoint,El Guro,0,not_sleep,
98,94,11/30/2023 0:00,11/30/2023,waypoint,El Guro,,0,95,11/30/2023 0:00,11/30/2023,waypoint,Middle of the island,0,not_sleep,
99,95,11/30/2023 0:00,11/30/2023,waypoint,Middle of the island,,0,96,11/30/2023 0:00,11/30/2023,waypoint,Middle of the island,0,not_sleep,
100,96,11/30/2023 0:00,11/30/2023,waypoint,Middle of the island,,0,97,11/30/2023 0:00,11/30/2023,waypoint,Vallehermoso outskirts,0,not_sleep,
101,97,11/30/2023 0:00,11/30/2023,waypoint,Vallehermoso outskirts,,0,98,11/30/2023 0:00,11/30/2023,sleep,Vallehermoso,0,not_sleep,
102,98,11/30/2023 0:00,11/30/2023,sleep,Vallehermoso,camping,1,99,12/1/2023 0:00,12/1/2023,sleep,Los Chapines,1,match,
103,99,12/1/2023 0:00,12/1/2023,sleep,Los Chapines,camping,1,100,12/2/2023 0:00,12/2/2023,waypoint,Vallehermoso,1,match,
104,100,12/2/2023 0:00,12/2/2023,waypoint,Vallehermoso,,0,101,12/2/2023 0:00,12/2/2023,waypoint,Agulo,0,not_sleep,
105,101,12/2/2023 0:00,12/2/2023,waypoint,Agulo,,0,102,12/2/2023 0:00,12/2/2023,waypoint,San Sebastian,0,not_sleep,
106,102,12/2/2023 0:00,12/2/2023,waypoint,San Sebastian,,0,103,12/2/2023 0:00,12/2/2023,sleep,San Sebastian,0,not_sleep,
107,103,12/2/2023 0:00,12/2/2023,sleep,San Sebastian,camping,2,106,12/4/2023 0:00,12/4/2023,waypoint,San Sebastian Marina,2,match,
108,106,12/4/2023 0:00,12/4/2023,waypoint,San Sebastian Marina,,0,107,12/4/2023 0:00,12/4/2023,waypoint,Los Christianos,0,not_sleep,
109,107,12/4/2023 0:00,12/4/2023,waypoint,Los Christianos,,0,108,12/4/2023 0:00,12/4/2023,sleep,Los Christianos Beach,0,not_sleep,
110,108,12/4/2023 0:00,12/4/2023,sleep,Los Christianos Beach,camping,2,109,12/6/2023 0:00,12/6/2023,waypoint,Montana Blanca,2,match,
111,109,12/6/2023 0:00,12/6/2023,waypoint,Montana Blanca,,0,110,12/6/2023 0:00,12/6/2023,waypoint,El Teide,0,not_sleep,
112,110,12/6/2023 0:00,12/6/2023,waypoint,El Teide,,0,111,12/6/2023 0:00,12/6/2023,waypoint,Montana Blanca,0,not_sleep,
113,111,12/6/2023 0:00,12/6/2023,waypoint,Montana Blanca,,0,112,12/6/2023 0:00,12/6/2023,waypoint,Las Galettas,0,not_sleep,
114,112,12/6/2023 0:00,12/6/2023,waypoint,Las Galettas,,0,113,12/6/2023 0:00,12/6/2023,sleep,Las Galettas Beach,0,not_sleep,
115,113,12/6/2023 0:00,12/6/2023,sleep,Las Galettas Beach,camping,1,114,12/7/2023 0:00,12/7/2023,sleep,Los Christianos Beach,1,match,
