"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"957","2025-03-16 05:02:00","1742101200000","1742101320000","Laguna LLaca","Elis Apartment","car","arcgis","existing"
"958","2025-03-16 05:00:00","1742079600000","1742101200000","Nevado Vallunareju","Laguna LLaca","foot","arcgis","existing"
"959","2025-03-17 23:02:00","1742252460000","1742252520000","Marcara","Carhuaz","car","arcgis","existing"
"960","2025-03-17 23:01:00","1742252400000","1742252460000","Huaraz","Marcara","car","arcgis","existing"
"961","2025-03-17 23:00:00","1742101320000","1742252400000","Elis Apartment","Huaraz","bus","arcgis","existing"
"962","2025-03-17 23:05:00","1742252640000","1742252700000","Huallanca","Huallanca","foot","arcgis","existing"
"963","2025-03-17 23:04:00","1742252520000","1742252640000","Carhuaz","Huallanca","car","arcgis","existing"
"964","2025-03-17 23:09:00","1742252880000","1742252940000","Corongo","Banos termales Aticara","foot","arcgis","existing"
"965","2025-03-17 23:08:00","1742252820000","1742252880000","La Pampa","Corongo","bus","arcgis","existing"
"966","2025-03-17 23:07:00","1742252760000","1742252820000","Yuracmarca","La Pampa","car","arcgis","existing"
"967","2025-03-17 23:06:00","1742252700000","1742252760000","Huallanca","Yuracmarca","car","arcgis","existing"
"968","2025-03-18 23:02:00","1742338860000","1742338920000","Aticara","La pampa","car","arcgis","existing"
"969","2025-03-18 23:01:00","1742338800000","1742338860000","Yupan","Aticara","car","arcgis","existing"
"970","2025-03-18 23:00:00","1742252940000","1742338800000","Banos termales Aticara","Yupan","car","arcgis","existing"
"971","2025-03-18 23:09:00","1742339220000","1742339340000","Santa","Santa","foot","arcgis","existing"
"972","2025-03-18 23:06:00","1742339040000","1742339160000","Cruze to La Pampa","Huarochiri","car","arcgis","existing"
"973","2025-03-19 23:00:00","1742339340000","1742425200000","Santa","Santa","foot","arcgis","existing"
"974","2025-03-18 23:04:00","1742338920000","1742339040000","La pampa","Cruze to La Pampa","car","arcgis","existing"
"975","2025-03-18 23:07:00","1742339160000","1742339220000","Huarochiri","Santa","truck","arcgis","existing"
"976","2025-03-19 23:03:00","1742425260000","1742425380000","Ciudad de dios","Cumbico","car","arcgis","existing"
"977","2025-03-19 23:01:00","1742425200000","1742425260000","Santa","Ciudad de dios","truck","arcgis","existing"
"978","2025-03-20 23:04:00","1742511660000","1742511840000","Cruze to Cumbe Mayo","Close to Cumbe Mayo","foot","arcgis","existing"
"979","2025-03-26 23:00:00","1742943660000","1743030000000","Kinti Wasi","Salida de Cajamarca","bus","arcgis","existing"
"980","2025-03-27 23:00:00","1743030240000","1743116400000","Mirador Cochabamba","Cochabamba","foot","arcgis","existing"
"981","2025-03-20 23:06:00","1742511900000","1742511960000","Cumbe Mayo","Kinti Wasi, Banos de Inca","car","arcgis","existing"
